tiempo,luminosidad,promedio_movil,categoria
2026-05-28 17:49:04.878329+00:00,3761,,Muy iluminado
2026-05-28 17:49:27.867478+00:00,3720,,Muy iluminado
2026-05-28 17:50:02.087177+00:00,3573,,Muy iluminado
2026-05-28 17:50:23.098753+00:00,3351,,Iluminado
2026-05-28 17:52:28.778331+00:00,3183,3517.6,Iluminado
2026-05-28 17:52:37.303787+00:00,3022,3369.8,Iluminado
2026-05-28 17:52:45.258467+00:00,2776,3181.0,Iluminado
2026-05-28 17:52:53.423686+00:00,2650,2996.4,Iluminado
2026-05-28 17:53:01.672182+00:00,2541,2834.4,Iluminado
2026-05-28 17:53:09.836463+00:00,2473,2692.4,Tenue
2026-05-28 17:53:18.075731+00:00,2402,2568.4,Tenue
2026-05-28 17:53:26.434395+00:00,2513,2515.8,Iluminado
2026-05-28 17:53:34.457015+00:00,2406,2467.0,Tenue
2026-05-28 17:53:42.266913+00:00,2332,2425.2,Tenue
2026-05-28 17:53:50.155280+00:00,2208,2372.2,Tenue
2026-05-28 17:53:57.814863+00:00,2135,2318.8,Tenue
2026-05-28 17:54:11.473689+00:00,2220,2260.2,Tenue
2026-05-28 17:54:19.350093+00:00,2403,2259.6,Tenue
2026-05-28 18:02:24.585356+00:00,1271,2047.4,Tenue
2026-05-28 18:02:33.025572+00:00,1446,1895.0,Tenue
2026-05-28 18:02:41.214220+00:00,1342,1736.4,Tenue
2026-05-28 18:02:49.336609+00:00,1268,1546.0,Tenue
2026-05-28 18:02:57.949761+00:00,1470,1359.4,Tenue
2026-05-28 18:03:06.214573+00:00,1583,1421.8,Tenue
2026-05-28 18:03:14.237782+00:00,1794,1491.4,Tenue
